Sample_Index,Max_diff_time_hours,Time_period,Value_min,Value_max,Range,Mean,Sd,Median
298,0.291412778,25.67,9.51,16.62,7.1,12.27,1.85,12.03
299,0.291412778,25.49,9.51,16.62,7.1,12.22,1.84,12
300,0.291412778,25.91,9.51,16.92,7.41,12.19,1.82,12
301,0.313936944,26.93,9.51,16.92,7.41,12.22,1.81,12.09
302,0.313936944,25.89,9.51,16.95,7.43,12.36,1.86,12.19
303,0.313936944,25.75,9.53,16.95,7.41,12.46,1.86,12.26
304,4.704933333,32.41,9.55,16.95,7.4,12.46,1.88,12.2
305,4.704933333,31.93,9.57,16.95,7.38,12.46,1.89,12.19
306,4.704933333,33.33,9.67,16.9,7.23,12.34,1.86,12.03
307,4.704933333,33.46,9.65,16.71,7.06,12.26,1.85,11.97
308,0.164773333,26.3,9.62,16.69,7.07,12.25,1.84,11.96
309,0.164773333,26.66,9.62,16.69,7.07,12.22,1.88,11.9
310,0.138352778,25.09,9.62,16.67,7.05,12.23,1.88,11.88
311,0.144681389,24.82,9.6,16.71,7.11,12.16,1.86,11.76
312,0.144681389,25.96,9.6,16.71,7.11,12.07,1.85,11.69
313,2.819766667,29.34,9.55,16.74,7.19,12.03,1.82,11.66
314,2.819766667,29.93,9.54,16.74,7.19,11.99,1.83,11.64
315,2.819766667,28.37,9.54,16.79,7.25,12.08,1.88,11.71
316,2.819766667,27.77,9.5,16.82,7.32,12.15,1.91,11.79
317,0.160955556,24.46,9.5,16.82,7.32,12.16,1.92,11.84
318,0.1666175,23.78,9.5,16.82,7.32,12.2,1.9,11.92
319,0.1666175,26.12,9.5,16.91,7.4,12.14,1.86,11.87
320,0.171091667,27.22,9.51,16.91,7.39,12.14,1.84,11.86
321,5.040038889,33.24,9.57,16.91,7.33,12.19,1.82,11.88
322,5.040038889,33.77,9.63,16.91,7.28,12.26,1.86,11.96
323,5.040038889,33.48,9.63,16.87,7.24,12.31,1.86,12.01
324,5.040038889,31.8,9.62,16.92,7.29,12.3,1.9,11.96
325,0.336993611,26.7,9.59,16.92,7.33,12.3,1.92,11.99
326,0.336993611,27.18,9.58,17.32,7.75,12.19,1.89,11.86
327,0.336993611,26.56,9.56,17.32,7.76,12.11,1.87,11.79
328,0.336993611,26.53,9.54,17.32,7.79,12.15,1.85,11.91
329,0.204699167,24.41,9.52,17.32,7.8,12.17,1.83,11.95
330,0.161113056,22.61,9.5,16.62,7.12,12.29,1.88,12.1
331,0.161113056,20.79,9.5,16.62,7.12,12.37,1.9,12.18
332,0.161113056,20.1,9.5,16.65,7.15,12.42,1.91,12.25
333,0.154620278,19.73,9.5,16.69,7.19,12.43,1.93,12.24
334,0.154620278,20.6,9.5,16.69,7.19,12.4,1.91,12.24
335,0.154620278,22.01,9.5,16.69,7.19,12.41,1.91,12.24
336,0.162103611,23.4,9.5,16.69,7.19,12.23,1.9,11.99
337,0.162103611,25.26,9.49,16.51,7.02,12.08,1.84,11.8
338,0.16769,25.89,9.49,16.51,7.02,11.96,1.81,11.62
